Date,latitude,longitude,depth,mag
2017-07-30,37.539,-118.9845,2.75,0.46
2017-07-30,38.776,-122.7533333,0.91,1.22
2017-07-30,63.5548,-151.0437,9.2,0.2
2017-07-30,38.8131676,-122.8146667,2.55,1.07
2017-07-30,37.5311667,-118.8445,0.37,0.99
2017-07-30,33.6705,-116.7035,16.52,0.4
2017-07-30,-54.576,-27.9552,39.73,5.1
2017-07-30,37.504,-118.782,0.11,0.54
2017-07-30,62.218,-151.2728,84.0,1.1
2017-07-30,51.7388,-178.5055,25.6,1.4
2017-07-30,32.6751667,-115.8131667,9.24,1.43
2017-07-30,38.1659,-118.1162,0.0,0.2
2017-07-30,40.0726,-119.6981,0.0,0.6
2017-07-30,37.516,-118.8763333,1.41,0.98
2017-07-30,38.3628,-118.8883,3.4,0.4
2017-07-30,38.7999992,-122.8125,2.72,0.9
2017-07-30,38.8156662,-122.8310013,2.02,0.86
2017-07-30,55.9903,-160.6984,152.3,2.1
2017-07-30,19.4341,-67.1333,67.0,3.38
2017-07-30,46.9151667,-112.5255,14.33,2.57
2017-07-30,36.7199,-116.3287,5.8,-0.2
2017-07-30,37.541,-118.9853333,3.59,0.35
2017-07-30,63.0354,-149.1682,71.4,0.6
2017-07-30,37.579,-118.9261667,-0.12,0.68
2017-07-30,37.4743333,-118.8375,2.68,2.07
2017-07-30,62.5044,-151.263,84.3,1.6
2017-07-30,61.4196,-146.6118,15.1,1.1
2017-07-30,36.5223,-98.9688,5.42,2.2
2017-07-30,19.21,-155.4493333,39.393,1.92
2017-07-30,56.8608,-157.4514,3.0,1.5
2017-07-30,37.5111667,-118.8686667,0.38,0.75
2017-07-30,31.8203,50.5928,10.0,5.0
2017-07-30,63.5824,-150.8005,6.6,0.3
2017-07-30,37.5506667,-119.0168333,2.1,0.92
2017-07-30,38.7823334,-122.7408371,0.15,0.89
2017-07-30,34.1615,-117.253,2.19,1.0
2017-07-30,39.4734993,-120.3271637,0.43,1.97
2017-07-30,37.617,-118.9703333,-0.03,0.76
2017-07-30,37.5225,-118.985,1.21,1.73
2017-07-30,37.5291667,-118.989,2.75,0.97
2017-07-30,59.2288,-152.7863,6.5,1.3
2017-07-30,37.5218333,-118.9905,2.4,1.94
2017-07-30,51.51,-178.4148,12.2,3.4
2017-07-30,46.8691667,-112.5316667,12.93,2.01
2017-07-30,60.7343,-140.8858,23.4,0.4
2017-07-30,51.6936,-178.4549,13.1,2.1
2017-07-30,51.6898,-178.4462,15.5,2.4
2017-07-30,60.816,-151.7572,80.2,1.6
2017-07-30,37.4991667,-118.881,-0.65,0.83
2017-07-30,60.8395,-147.1778,67.7,1.2
2017-07-30,57.0015,-154.2089,7.4,1.1
2017-07-30,37.9383333,-118.8716667,6.62,1.56
2017-07-30,51.6844,-178.4978,11.9,1.6
2017-07-30,36.6083,141.0137,54.35,4.3
2017-07-30,38.4011,-118.8905,0.0,0.5
2017-07-30,61.1692,-152.2239,4.6,1.0
2017-07-30,37.5521667,-119.0165,2.39,0.63
2017-07-30,61.6087,-149.8013,55.5,0.9
2017-07-30,37.5881667,-118.942,0.71,0.42
2017-07-30,37.546,-118.89,0.83,0.48
2017-07-30,58.0971,-151.7384,41.0,2.5
2017-07-30,60.0393,-151.8513,79.9,1.4
2017-07-30,60.8777,-152.1499,95.8,1.9
2017-07-30,-14.3077,171.8002,617.97,4.2
2017-07-30,37.5546667,-119.0125,2.53,0.58
2017-07-30,33.5103333,-116.7918333,5.2,0.5
2017-07-30,46.8701667,-112.5345,11.83,1.38
2017-07-30,39.9225,-120.737,10.2,0.2
2017-07-30,60.7447,-150.96,58.3,1.0
2017-07-30,60.2898,-140.7669,10.8,1.2
2017-07-30,44.8308333,-110.9493333,5.7,0.61
2017-07-30,59.476,-152.4863,70.8,1.7
2017-07-30,34.4386667,-117.9125,10.2,0.94
2017-07-30,37.5268333,-118.8233333,1.4,0.82
2017-07-30,-10.0948,114.9189,52.05,4.0
2017-07-30,63.1236,-149.0308,74.8,2.0
2017-07-30,37.8602,-116.1099,2.9,0.5
2017-07-30,37.5778333,-118.922,-0.17,1.49
2017-07-30,37.5535,-119.0165,2.27,0.82
2017-07-30,37.5961667,-118.8233333,5.28,0.79
2017-07-30,38.8096657,-122.817337,3.71,0.89
2017-07-30,63.0187,-150.4857,87.2,0.9
2017-07-30,37.592,-118.9358333,0.46,0.35
2017-07-30,61.1753,-144.6324,22.4,2.1
2017-07-30,67.4302,-145.2674,12.5,1.0
2017-07-30,36.2555,143.755,6.31,5.3
2017-07-30,-1.4134,149.9568,35.0,4.8
2017-07-30,58.4899,-153.3767,60.1,1.0
2017-07-30,62.8984,-146.6938,32.5,0.9
2017-07-30,58.2374,-155.0926,3.2,1.1
2017-07-30,63.0171,-150.4362,96.6,0.9
2017-07-30,37.5498333,-118.8405,2.28,0.44
2017-07-30,36.2502,-116.8122,0.0,-0.3
2017-07-30,51.1849,-178.2025,30.99,3.7
2017-07-30,60.4448,-147.4146,9.5,1.6
2017-07-30,20.4045,-156.102,17.252,4.21
2017-07-30,53.18,-167.8891,72.3,1.8
2017-07-30,36.5766667,-121.0611667,7.64,1.18
2017-07-30,34.1248333,-118.4856667,9.33,1.7
2017-07-30,37.5936667,-118.9358333,0.96,0.63
2017-07-30,32.6996667,-115.7971667,9.01,1.07
2017-07-30,33.3256667,-116.7626667,13.76,0.49
2017-07-30,51.7646,178.7559,79.9,1.9
2017-07-30,57.8464,-153.2494,37.8,0.8
2017-07-30,37.5893333,-118.9351667,1.06,2.22
2017-07-30,-36.0696,52.2621,10.0,4.6
2017-07-30,63.1832,-150.8216,129.5,1.6
2017-07-30,39.5925,-120.3904,12.2,-0.2
2017-07-30,60.2044,-141.4814,0.0,1.4
2017-07-30,59.2209,-152.4063,67.2,1.3
2017-07-30,37.4635,-118.816,-0.19,1.6
2017-07-30,37.529,-118.8766667,3.31,0.82
2017-07-30,38.3975,-118.8807,11.8,0.6
2017-07-30,59.7265,-152.9617,84.4,1.6
2017-07-30,46.892,-112.5231667,13.03,1.42
2017-07-30,33.4916667,-116.7933333,4.89,0.3
2017-07-30,37.1683,-117.2358,8.6,0.0
2017-07-30,61.4065,-140.7261,20.0,1.6
2017-07-30,36.0388333,-117.776,1.69,0.29
2017-07-30,37.5623333,-119.0146667,2.7,0.5
2017-07-30,34.032,-116.856,19.87,0.51
2017-07-30,61.2243,-147.7782,0.0,1.0
2017-07-30,37.6051667,-118.9558333,-0.17,0.52
2017-07-30,51.8769,-178.4279,23.9,1.4
2017-07-30,37.6231667,-119.063,0.12,-0.16
2017-07-30,60.6256,-150.7266,44.8,0.9
2017-07-30,60.1248,-153.0157,113.8,2.2
2017-07-30,63.8315,-148.7089,13.3,0.6
2017-07-30,63.8253,-149.1187,113.4,1.6
2017-07-30,63.1472,-151.4343,4.8,0.5
2017-07-30,37.5521667,-119.017,2.46,0.96
2017-07-30,50.5721,-174.5742,19.0,2.7
2017-07-30,64.6268,-149.1281,38.1,1.3
2017-07-30,63.2982,-151.4399,12.7,2.6
2017-07-30,37.587,-118.9046667,-1.44,0.27
2017-07-30,46.5076667,-122.3421667,15.84,1.14
2017-07-30,33.4673333,-116.5463333,7.49,0.5
2017-07-30,-4.7587,68.7804,10.0,4.7
2017-07-30,33.683,-117.3571667,7.31,1.07
2017-07-30,62.9675,-150.9087,108.6,1.8
2017-07-30,40.5841667,-122.1081667,8.52,1.4
2017-07-30,34.167,-117.2506667,3.72,0.73
2017-07-30,37.5461667,-118.8275,-0.12,0.8
2017-07-30,37.41,-121.8338333,1.8,0.74
2017-07-30,37.562,-118.8931667,0.97,0.47
2017-07-30,37.5635,-118.8648333,-1.74,0.74
2017-07-30,46.127,-119.5063333,14.19,1.29
2017-07-30,60.0235,-152.2905,86.5,1.5
2017-07-30,36.9478333,-121.3838333,6.69,0.97
2017-07-30,17.8945,-68.0685,47.0,2.25
2017-07-30,37.2864,-116.1111,4.9,0.5
2017-07-30,37.5318333,-118.8856667,2.41,0.58
2017-07-30,63.8523,-148.6126,102.9,0.8
2017-07-30,59.4826,-152.3348,79.3,1.6
2017-07-30,63.0504,-150.4851,97.7,1.1
2017-07-30,62.3518,-151.3813,80.4,2.7
2017-07-30,44.7913333,-111.0576667,6.64,0.59
2017-07-30,38.814,-122.8228333,1.91,1.82
2017-07-30,47.3053333,-121.4781667,12.46,1.78
2017-07-30,61.5063,-146.4281,21.8,1.8
2017-07-30,-21.2457,-67.3393,225.06,4.2
2017-07-30,46.1268333,-119.5118333,11.29,1.99
2017-07-30,36.2619,-115.2042,12.3,0.7
2017-07-30,58.2248,-151.7131,10.0,1.0
2017-07-30,37.649,-119.0233333,-0.66,0.63
2017-07-30,52.9437,-167.5712,12.4,1.8
2017-07-30,59.3205,-153.583,100.6,1.1
2017-07-30,18.0323,-67.0418,7.0,1.92
2017-07-30,38.1493,-118.2346,7.4,0.7
2017-07-30,33.5035,-116.7943333,4.35,0.22
2017-07-30,-0.2437,29.7845,10.0,5.3
2017-07-30,36.9325,27.6306,10.0,4.2
2017-07-30,51.5073,-177.5056,29.1,1.3
2017-07-30,64.5842,-147.858,12.6,0.5
2017-07-30,60.06,-153.0346,118.4,1.5
2017-07-30,36.8101,-116.2395,5.0,0.0
2017-07-30,37.4718333,-118.8215,0.39,0.81
2017-07-30,37.5263333,-118.989,2.74,1.57
2017-07-30,33.499,-116.7971667,4.78,0.31
2017-07-30,33.4998333,-116.7915,4.77,0.84
2017-07-30,37.6475,-119.0223333,-0.53,0.43
2017-07-30,38.8105011,-122.7941666,2.47,1.12
2017-07-30,17.9736,-65.3846,13.0,2.95
2017-07-30,65.4825,-153.3563,7.5,1.3
2017-07-30,63.8121,-148.5483,112.6,0.8
2017-07-30,4.764,-75.1508,10.0,4.5
2017-07-30,64.5201,-147.2552,24.3,0.2
2017-07-30,37.5655,-119.0233333,3.8,0.17
2017-07-30,37.6113333,-118.9585,0.54,-0.01
2017-07-30,4.8573,-74.9846,10.0,4.7
2017-07-30,61.2919,-150.6882,62.0,1.1
2017-07-30,61.8883,-150.6401,65.0,1.0
2017-07-30,37.5985,-118.962,0.07,0.28
2017-07-30,37.5563333,-118.8876667,2.08,0.51
2017-07-30,64.2251,-152.8765,9.4,0.6
2017-07-30,62.6474,-152.1814,108.6,0.9
2017-07-30,51.1366,179.2284,29.3,2.0
2017-07-30,47.6011667,-122.749,26.11,0.69
2017-07-30,37.5868333,-118.947,-0.14,1.88
2017-07-30,44.7956667,-111.05,5.71,0.46
2017-07-30,53.9661,169.4259,10.0,4.2
2017-07-30,46.8756667,-121.7916667,0.11,0.86
2017-07-30,52.0616,179.572,169.2,2.5
2017-07-30,34.008,-117.225,16.55,1.15
2017-07-30,37.4671667,-118.8281667,-0.39,0.91
2017-07-30,33.9508333,-116.8451667,8.67,0.65
2017-07-30,61.9105,-149.3112,3.5,0.8
2017-07-30,37.6078333,-118.9386667,1.04,0.08
2017-07-30,62.9899,-148.044,12.1,0.8
2017-07-30,33.711,-116.8158333,15.83,0.48
2017-07-30,37.5623333,-118.847,-1.28,0.3
2017-07-30,37.5905,-118.959,0.89,0.09
2017-07-30,38.8363342,-122.7818298,1.64,1.17
2017-07-30,37.4945,-118.8371667,-0.56,0.89
2017-07-30,59.0859,-153.6349,103.3,2.3
2017-07-30,58.9059,-153.6751,3.4,1.0
2017-07-30,19.1975002,-155.4776611,35.09,1.79
2017-07-30,37.1376,-115.4588,0.0,0.2
2017-07-30,61.5345,-146.6537,31.8,1.0
2017-07-30,35.566,-118.3336667,3.07,1.61
2017-07-30,37.55,-119.0153333,1.89,1.54
2017-07-30,54.937,-161.6379,65.4,2.0
2017-07-30,37.6538333,-119.0193333,-0.15,0.05
2017-07-30,18.909,-65.0281,25.0,2.98
2017-07-30,23.3233,-81.629,10.0,4.4
2017-07-30,59.5741,-152.7075,77.3,1.6
2017-07-30,37.4626667,-118.8151667,0.7,1.46
2017-07-30,37.5605,-118.8936667,0.49,0.79
2017-07-30,61.9713,-149.5545,36.3,1.3
2017-07-30,37.6076667,-118.9471667,-0.34,0.95
2017-07-30,37.387,-118.8275,8.78,1.62
2017-07-30,-21.0086,-178.6778,550.47,5.0
2017-07-30,51.6166,-178.1038,22.4,1.6
2017-07-30,59.2323,-153.6066,101.6,1.4
2017-07-30,39.24,74.1843,10.0,4.1
2017-07-30,37.569,-118.8876667,1.62,1.3
2017-07-30,37.5445,-118.8826667,0.92,0.22
2017-07-30,38.8241653,-122.7661667,1.82,1.15
2017-07-30,37.5246667,-118.9058333,0.32,0.83
2017-07-30,54.1512,-163.7334,6.7,2.1
2017-07-30,37.6483333,-119.0225,-0.41,0.53
2017-07-30,62.0105,-149.2994,7.4,3.2
2017-07-30,58.2501,-155.8576,146.9,1.6
2017-07-30,63.2609,-150.4596,117.6,1.4
2017-07-30,37.5635,-118.841,1.36,0.9
2017-07-30,58.2585,-155.9517,148.8,2.3
2017-07-30,60.1855,-152.4579,92.3,1.6
2017-07-30,37.565,-118.8906667,2.4,0.62
2017-07-30,62.0727,-150.0725,19.2,0.8
2017-07-30,19.1896667,-155.4645,35.547,1.93
2017-07-30,61.9884,-135.6804,9.1,2.2
2017-07-30,37.4586667,-118.8165,-2.27,1.99
2017-07-30,38.7878342,-122.7443314,1.33,0.61
2017-07-30,37.5591667,-118.8536667,0.67,0.58
2017-07-30,37.574,-118.8641667,-1.0,0.2
2017-07-30,59.9371,-152.3186,85.8,1.5
2017-07-30,38.7593346,-122.7099991,1.36,1.0
2017-07-30,38.7961667,-122.7941667,3.58,0.51
2017-07-30,19.0753,-65.5346,30.0,2.3
2017-07-30,-15.4685,-173.1876,10.0,4.5
2017-07-30,18.8166,-65.4531,26.0,2.35
2017-07-30,37.4775,-118.836,2.93,1.22
2017-07-30,18.8223,-65.4683,25.0,2.76
2017-07-30,18.793,-65.4573,28.0,2.14
2017-07-30,18.817,-65.4651,25.0,2.59
2017-07-30,18.7711,-65.4766,24.0,2.37
2017-07-30,61.8987,-149.2804,4.5,1.4
2017-07-30,37.5713333,-118.887,1.96,1.75
2017-07-30,63.0833,-150.9411,130.0,1.5
2017-07-30,38.0267,-118.3021,5.1,0.9
2017-07-30,37.5725,-118.8776667,-1.36,0.55
2017-07-30,33.9831667,-116.444,7.91,0.84
2017-07-30,37.5745,-118.9856667,1.34,0.34
2017-07-30,61.3824,-149.5094,1.8,0.9
2017-07-30,37.6473333,-119.0241667,-0.33,0.69
2017-07-30,37.5453333,-118.865,-2.23,1.07
2017-07-30,37.6481667,-119.021,-0.57,0.74
2017-07-30,37.6513333,-119.0193333,-0.35,0.06
2017-07-30,37.5685,-118.8881667,1.47,0.77
2017-07-30,37.5703333,-118.887,2.1,1.07
2017-07-30,37.5655,-118.8863333,1.55,0.89
2017-07-30,37.6495,-119.0206667,-0.54,0.7
2017-07-30,36.1353333,-89.7216667,7.3,1.21
2017-07-30,37.5696667,-118.8886667,1.88,3.26
2017-07-30,38.5585,-118.5115,0.4,0.2
2017-07-30,37.6495,-119.0206667,-0.52,0.71
2017-07-30,37.6013333,-118.9376667,1.2,1.27
2017-07-30,37.6518333,-119.022,-0.59,0.52
2017-07-30,37.6503333,-119.0201667,-0.64,0.02
2017-07-30,37.6536667,-119.0198333,-0.07,0.73
2017-07-30,37.6513333,-119.0198333,-0.22,1.36
2017-07-30,35.4466667,-118.4173333,2.4,1.36
2017-07-30,61.8591,-147.688,40.2,0.4
2017-07-30,37.6528333,-119.0191667,-0.32,1.11
2017-07-30,46.8898333,-112.5175,15.42,1.63
2017-07-30,60.474,-159.3334,6.6,0.9
2017-07-30,33.4203333,-116.6435,6.31,0.37
2017-07-30,37.5445,-118.8835,2.5,1.74
2017-07-30,37.5183333,-118.9005,0.55,1.35
2017-07-30,58.8921,-154.3985,121.7,1.2
2017-07-30,37.6505,-119.02,-0.05,0.53
2017-07-30,40.1156667,-123.7605,22.28,1.74
2017-07-30,33.2335,-116.7698333,11.37,1.02
2017-07-30,37.2385,-115.1582,1.5,1.3
2017-07-30,38.0268,-97.9977,1.08,3.0
2017-07-30,18.8866,-67.6758,5.0,2.61
2017-07-30,37.5878333,-118.9353333,0.45,0.69
2017-07-30,37.6468333,-119.025,-1.25,0.24
2017-07-30,17.9658,-65.389,15.0,2.72
2017-07-30,33.2076667,-116.7446667,8.11,0.77
2017-07-30,37.5946667,-118.9363333,0.2,0.7
2017-07-30,63.4193,-151.5004,4.1,0.4
2017-07-30,37.5881667,-118.935,0.87,0.48
2017-07-29,37.4606667,-118.8161667,-2.05,1.26
2017-07-29,37.4835,-118.8251667,2.66,0.8
2017-07-29,37.651,-119.0198333,-0.46,0.82
2017-07-29,-20.7993,-176.3198,183.75,4.7
2017-07-29,37.6526667,-119.0208333,-0.64,0.65
2017-07-29,33.9763333,-116.7463333,18.15,1.21
2017-07-29,37.504,-118.888,-1.03,1.27
2017-07-29,37.3256667,-97.6386667,4.64,2.05
2017-07-29,37.4628333,-118.8143333,-0.23,1.14
2017-07-29,37.6565,-119.023,-0.96,0.54
2017-07-29,63.8273,-149.234,107.2,1.1
2017-07-29,37.5051667,-118.8896667,-0.51,1.37
2017-07-29,58.9957,-151.0481,25.2,1.6
2017-07-29,36.6441667,-121.2548333,4.77,1.89
2017-07-29,37.5408333,-118.8705,0.75,1.04
2017-07-29,37.4603333,-118.8156667,0.06,2.38
2017-07-29,37.5353333,-118.8506667,-1.92,2.43
2017-07-29,37.463,-118.8146667,0.67,0.96
2017-07-29,37.4611667,-118.8158333,-2.1,1.68
2017-07-29,42.7364,131.2496,543.33,4.0
2017-07-29,37.4633333,-118.8208333,-0.47,0.94
2017-07-29,48.202,-122.9531667,26.67,1.03
2017-07-29,37.4593333,-118.8173333,-0.21,1.03
2017-07-29,37.5341667,-118.8491667,-1.91,2.24
2017-07-29,37.4598333,-118.8153333,-1.97,1.86
2017-07-29,37.462,-118.8161667,-2.39,1.2
2017-07-29,33.2638333,-116.0315,3.64,1.42
2017-07-29,37.653,-119.0215,-0.75,0.3
2017-07-29,46.8665,-112.4731667,14.09,2.3
2017-07-29,37.465,-118.8143333,-0.9,1.02
2017-07-29,46.8516667,-112.524,14.0,1.42
2017-07-29,37.4608333,-118.8155,-1.16,1.03
2017-07-29,44.795,-111.0523333,7.07,1.27
2017-07-29,19.1768,-66.821,56.0,3.03
2017-07-29,37.6498333,-119.019,-0.22,0.23
2017-07-29,37.4635,-118.8155,-0.49,2.07
2017-07-29,37.6056667,-118.9385,-0.23,0.75
2017-07-29,60.8794,-151.522,80.0,2.1
2017-07-29,63.1614,-151.3287,6.5,1.3
2017-07-29,39.445,-120.1534,7.9,0.3
2017-07-29,37.4608333,-118.8163333,-1.87,1.7
2017-07-29,33.5636667,-117.0613333,12.24,0.8
2017-07-29,37.5885,-118.9435,0.17,-0.02
2017-07-29,39.3289,-119.9715,9.1,1.1
2017-07-29,37.5403333,-118.8855,2.29,1.16
2017-07-29,63.3801,-147.6148,83.3,1.1
2017-07-29,37.59,-118.949,-0.39,0.88
2017-07-29,37.5146667,-118.8275,0.75,0.8
2017-07-29,37.5573333,-118.8613333,-1.14,0.89
2017-07-29,39.3275,-119.9775,10.1,2.1
2017-07-29,39.3271,-119.9732,10.3,1.4
2017-07-29,37.5055,-118.8225,0.2,0.86
2017-07-29,61.6329,-150.8649,58.0,1.3
2017-07-29,36.2784,-97.5066,5.0,2.6
2017-07-29,39.6275,-120.064,3.8,-0.1
2017-07-29,37.5896667,-118.9428333,2.38,0.26
2017-07-29,59.7135,-151.9619,51.5,2.6
2017-07-29,39.332,-119.974,8.3,0.6
2017-07-29,39.3347,-119.9734,8.0,0.1
2017-07-29,36.5206,-116.926,4.9,0.0
2017-07-29,36.006,-120.8905,8.61,1.55
2017-07-29,39.3261,-119.9554,8.9,0.3
2017-07-29,37.5436667,-118.884,2.3,1.85
2017-07-29,37.5706667,-118.9365,0.46,1.01
2017-07-29,33.502,-116.7911667,4.89,0.29
2017-07-29,18.7656,-67.8428,79.0,3.33
2017-07-29,35.4493333,-118.407,0.43,2.32
2017-07-29,39.3261,-119.9742,9.6,0.2
2017-07-29,61.4799,-151.9574,12.5,0.5
2017-07-29,38.808,-122.795,3.19,1.36
2017-07-29,38.8086667,-122.794,2.48,2.35
2017-07-29,37.5506667,-118.878,-2.28,1.17
2017-07-29,19.4013329,-155.2850037,1.66,1.88
2017-07-29,37.5011667,-118.8353333,-0.06,0.72
2017-07-29,37.5563333,-118.8763333,-2.22,0.97
2017-07-29,60.2574,-140.9984,9.9,0.6
2017-07-29,-4.9051,151.7004,137.18,4.7
2017-07-29,37.6303333,-121.603,10.77,0.99
2017-07-29,38.3808,-118.8974,7.9,1.1
2017-07-29,38.81,-122.7918333,3.87,0.26
2017-07-29,33.3413333,-116.3383333,5.49,0.89
2017-07-29,34.2943333,-116.8408333,5.14,1.15
2017-07-29,37.4756667,-118.8188333,-0.38,1.57
2017-07-29,38.3841,-118.1516,8.1,-0.2
2017-07-29,19.4303333,-155.6236667,3.612,1.19
2017-07-29,63.2174,-150.5906,135.1,2.1
2017-07-29,44.7513333,-111.0471667,0.42,0.21
2017-07-29,60.277,-141.4192,0.1,1.1
2017-07-29,33.6396667,-116.6921667,14.08,0.78
2017-07-29,37.5373333,-118.8276667,1.25,0.82
2017-07-29,37.5378333,-118.8308333,1.21,0.79
2017-07-29,63.1433,-150.5386,117.4,1.3
